
	EPOCHWISE SOLUTIONS FOR THE TRADITIONAL INTEGRATION STRATEGY.
	Initial Estimate of Receiver Position : 
	X (m):        841693.698     
	Y (m):        -4530895.777   
	Z (m):        4394926.382    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
	|| Loose GNSS-IMU Integration ||
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
EPOCH       X(m)           Y(m)           Z(m)           Vx(m/s)        Vy(m/s)        Vz(m/s)        Tx(deg)        Ty(deg)        Tz(deg)        
72600.530   841693.698     -4530895.782   4394926.382    0.001          -0.015         0.001          -0.004         -0.003         8.788          
72600.540   841693.699     -4530895.782   4394926.382    0.001          -0.015         0.000          -0.004         -0.006         8.789          
72600.550   841693.699     -4530895.782   4394926.382    -0.000         -0.015         0.001          -0.004         -0.007         8.789          
72600.560   841693.698     -4530895.782   4394926.382    -0.001         -0.015         0.001          -0.004         -0.007         8.788          
72600.570   841693.698     -4530895.783   4394926.382    -0.001         -0.014         0.001          -0.005         -0.007         8.788          
72600.580   841693.698     -4530895.783   4394926.382    -0.001         -0.014         0.000          -0.005         -0.007         8.787          
72600.590   841693.698     -4530895.783   4394926.382    -0.001         -0.015         0.000          -0.006         -0.007         8.788          
72600.600   841693.698     -4530895.783   4394926.382    -0.001         -0.015         0.001          -0.006         -0.008         8.789          
72600.611   841693.698     -4530895.783   4394926.382    -0.002         -0.015         0.001          -0.006         -0.009         8.788          
72600.624   841693.698     -4530895.783   4394926.382    -0.002         -0.014         0.001          -0.006         -0.010         8.787          
72600.630   841693.698     -4530895.783   4394926.382    -0.002         -0.014         0.001          -0.005         -0.011         8.787          
72600.640   841693.698     -4530895.784   4394926.382    -0.002         -0.015         0.001          -0.004         -0.012         8.786          
72600.650   841693.698     -4530895.784   4394926.382    -0.002         -0.015         0.000          -0.005         -0.012         8.785          
72600.660   841693.698     -4530895.784   4394926.382    -0.002         -0.015         0.000          -0.004         -0.011         8.786          
72600.670   841693.698     -4530895.784   4394926.382    -0.002         -0.015         0.001          -0.002         -0.011         8.788          
72600.680   841693.698     -4530895.784   4394926.382    -0.001         -0.014         0.001          -0.002         -0.011         8.788          
72600.690   841693.698     -4530895.784   4394926.382    -0.001         -0.014         0.001          0.000          -0.012         8.788          
72600.700   841693.698     -4530895.785   4394926.382    -0.000         -0.015         0.001          0.001          -0.013         8.789          
72600.711   841693.698     -4530895.785   4394926.382    0.001          -0.015         0.001          -0.001         -0.012         8.789          
72600.724   841693.698     -4530895.785   4394926.383    0.001          -0.016         0.001          -0.001         -0.011         8.789          
72600.730   841693.698     -4530895.785   4394926.383    0.001          -0.016         0.001          -0.001         -0.011         8.789          
72600.740   841693.698     -4530895.785   4394926.383    0.002          -0.016         0.001          -0.001         -0.010         8.790          
72600.750   841693.698     -4530895.785   4394926.383    0.002          -0.016         0.001          -0.001         -0.011         8.790          
72600.760   841693.698     -4530895.785   4394926.383    0.003          -0.017         0.001          -0.002         -0.012         8.790          
72600.770   841693.698     -4530895.786   4394926.383    0.003          -0.017         0.001          -0.003         -0.012         8.789          
72600.780   841693.698     -4530895.786   4394926.383    0.003          -0.017         0.001          -0.002         -0.013         8.789          
72600.790   841693.698     -4530895.786   4394926.383    0.004          -0.017         0.001          -0.003         -0.014         8.789          
72600.800   841693.699     -4530895.786   4394926.383    0.004          -0.017         0.001          -0.005         -0.014         8.791          
72600.811   841693.699     -4530895.786   4394926.383    0.004          -0.017         0.000          -0.005         -0.013         8.792          
72600.824   841693.699     -4530895.787   4394926.383    0.004          -0.017         0.000          -0.004         -0.013         8.791          
72600.830   841693.699     -4530895.787   4394926.383    0.005          -0.017         0.000          -0.005         -0.012         8.791          
72600.840   841693.699     -4530895.787   4394926.383    0.005          -0.017         -0.000         -0.004         -0.012         8.791          
72600.850   841693.699     -4530895.787   4394926.383    0.005          -0.017         -0.000         -0.004         -0.012         8.791          
72600.860   841693.699     -4530895.787   4394926.383    0.005          -0.016         -0.000         -0.006         -0.012         8.790          
72600.870   841693.699     -4530895.787   4394926.383    0.005          -0.016         -0.000         -0.006         -0.012         8.790          
72600.880   841693.699     -4530895.787   4394926.383    0.005          -0.017         -0.001         -0.007         -0.014         8.793          
72600.890   841693.699     -4530895.788   4394926.383    0.005          -0.017         -0.001         -0.007         -0.014         8.794          
72600.900   841693.699     -4530895.788   4394926.383    0.004          -0.017         -0.001         -0.008         -0.016         8.795          
72600.911   841693.699     -4530895.788   4394926.383    0.003          -0.017         -0.001         -0.008         -0.016         8.795          
72600.924   841693.699     -4530895.788   4394926.383    0.003          -0.017         -0.001         -0.008         -0.016         8.795          
72600.930   841693.699     -4530895.788   4394926.383    0.003          -0.017         -0.001         -0.009         -0.015         8.794          
72600.940   841693.699     -4530895.789   4394926.383    0.003          -0.018         -0.001         -0.008         -0.014         8.795          
72600.950   841693.699     -4530895.789   4394926.383    0.002          -0.018         -0.001         -0.009         -0.014         8.796          
72600.960   841693.699     -4530895.789   4394926.383    0.002          -0.018         -0.000         -0.009         -0.014         8.795          
72600.970   841693.699     -4530895.789   4394926.383    0.001          -0.018         0.000          -0.009         -0.015         8.795          
72600.980   841693.699     -4530895.789   4394926.383    0.001          -0.018         0.000          -0.008         -0.015         8.795          
72600.990   841693.699     -4530895.789   4394926.383    0.001          -0.018         -0.000         -0.008         -0.015         8.793          
72601.000   841693.699     -4530895.790   4394926.383    0.001          -0.019         -0.000         -0.007         -0.014         8.792          
72601.000   841693.698     -4530895.778   4394926.383    0.001          -0.010         -0.002         -0.007         -0.014         8.792          
72601.011   841693.698     -4530895.778   4394926.383    0.002          -0.011         -0.002         -0.007         -0.014         8.791          
72601.024   841693.698     -4530895.779   4394926.383    0.001          -0.011         -0.001         -0.006         -0.012         8.791          
72601.030   841693.698     -4530895.779   4394926.383    0.001          -0.011         -0.001         -0.006         -0.012         8.792          
72601.040   841693.698     -4530895.779   4394926.383    0.001          -0.011         -0.001         -0.006         -0.014         8.792          
72601.050   841693.698     -4530895.779   4394926.382    0.001          -0.011         -0.001         -0.005         -0.014         8.793          
72601.060   841693.698     -4530895.779   4394926.382    0.002          -0.011         -0.001         -0.004         -0.014         8.792          
72601.070   841693.698     -4530895.779   4394926.382    0.002          -0.011         -0.001         -0.004         -0.013         8.793          
72601.080   841693.698     -4530895.779   4394926.382    0.001          -0.010         -0.001         -0.006         -0.013         8.791          
72601.090   841693.698     -4530895.779   4394926.382    0.001          -0.011         -0.001         -0.006         -0.012         8.791          
72601.100   841693.698     -4530895.779   4394926.382    0.002          -0.010         -0.001         -0.004         -0.013         8.790          
72601.111   841693.698     -4530895.780   4394926.382    0.001          -0.010         -0.001         -0.004         -0.013         8.789          
72601.124   841693.698     -4530895.780   4394926.382    0.002          -0.010         -0.001         -0.004         -0.014         8.790          
72601.130   841693.698     -4530895.780   4394926.382    0.002          -0.010         -0.001         -0.005         -0.013         8.791          
72601.140   841693.698     -4530895.780   4394926.382    0.002          -0.010         -0.001         -0.005         -0.014         8.791          
72601.150   841693.698     -4530895.780   4394926.382    0.002          -0.010         -0.002         -0.005         -0.014         8.791          
72601.160   841693.699     -4530895.780   4394926.382    0.002          -0.010         -0.002         -0.003         -0.013         8.792          
72601.170   841693.699     -4530895.780   4394926.382    0.003          -0.010         -0.002         -0.003         -0.013         8.792          
72601.180   841693.699     -4530895.780   4394926.382    0.003          -0.010         -0.002         -0.003         -0.013         8.794          
72601.190   841693.699     -4530895.780   4394926.382    0.004          -0.010         -0.002         -0.003         -0.014         8.795          
72601.200   841693.699     -4530895.780   4394926.382    0.004          -0.010         -0.002         -0.004         -0.015         8.792          
72601.211   841693.699     -4530895.781   4394926.382    0.004          -0.010         -0.002         -0.005         -0.015         8.790          
72601.224   841693.699     -4530895.781   4394926.382    0.005          -0.011         -0.002         -0.006         -0.016         8.789          
72601.230   841693.699     -4530895.781   4394926.382    0.005          -0.011         -0.002         -0.006         -0.017         8.789          
72601.240   841693.699     -4530895.781   4394926.382    0.005          -0.011         -0.002         -0.005         -0.016         8.789          
72601.250   841693.699     -4530895.781   4394926.382    0.005          -0.011         -0.002         -0.006         -0.016         8.790          
72601.260   841693.699     -4530895.781   4394926.382    0.005          -0.011         -0.002         -0.007         -0.017         8.791          
72601.270   841693.699     -4530895.781   4394926.382    0.005          -0.011         -0.002         -0.008         -0.015         8.794          
72601.280   841693.699     -4530895.781   4394926.382    0.005          -0.011         -0.002         -0.008         -0.013         8.793          
72601.290   841693.699     -4530895.781   4394926.382    0.005          -0.011         -0.002         -0.008         -0.013         8.793          
72601.300   841693.699     -4530895.782   4394926.382    0.005          -0.011         -0.002         -0.007         -0.013         8.792          
72601.311   841693.699     -4530895.782   4394926.382    0.005          -0.011         -0.001         -0.007         -0.013         8.792          
72601.324   841693.699     -4530895.782   4394926.382    0.005          -0.011         -0.002         -0.009         -0.014         8.791          
72601.330   841693.699     -4530895.782   4394926.382    0.005          -0.011         -0.002         -0.008         -0.014         8.791          
72601.340   841693.699     -4530895.782   4394926.382    0.005          -0.012         -0.002         -0.008         -0.015         8.791          
72601.350   841693.699     -4530895.782   4394926.382    0.005          -0.012         -0.002         -0.009         -0.017         8.792          
72601.360   841693.699     -4530895.782   4394926.382    0.005          -0.012         -0.002         -0.010         -0.018         8.793          
72601.370   841693.699     -4530895.782   4394926.382    0.004          -0.012         -0.002         -0.010         -0.019         8.792          
72601.380   841693.700     -4530895.782   4394926.382    0.004          -0.012         -0.001         -0.011         -0.018         8.790          
72601.390   841693.700     -4530895.783   4394926.382    0.004          -0.012         -0.002         -0.011         -0.017         8.789          
72601.400   841693.700     -4530895.783   4394926.382    0.004          -0.012         -0.002         -0.010         -0.016         8.789          
72601.411   841693.700     -4530895.783   4394926.382    0.004          -0.012         -0.002         -0.010         -0.016         8.789          
72601.424   841693.700     -4530895.783   4394926.382    0.003          -0.012         -0.001         -0.012         -0.016         8.790          
72601.430   841693.700     -4530895.783   4394926.382    0.003          -0.012         -0.001         -0.013         -0.016         8.789          
72601.440   841693.700     -4530895.783   4394926.382    0.003          -0.012         -0.001         -0.012         -0.016         8.789          
72601.450   841693.700     -4530895.783   4394926.382    0.003          -0.013         -0.002         -0.011         -0.016         8.790          
72601.460   841693.700     -4530895.783   4394926.382    0.003          -0.013         -0.002         -0.011         -0.018         8.791          
72601.470   841693.700     -4530895.784   4394926.382    0.002          -0.014         -0.002         -0.010         -0.018         8.790          
72601.480   841693.700     -4530895.784   4394926.382    0.002          -0.014         -0.002         -0.010         -0.017         8.788          
72601.490   841693.700     -4530895.784   4394926.382    0.002          -0.014         -0.002         -0.009         -0.015         8.787          
72601.500   841693.700     -4530895.784   4394926.382    0.002          -0.014         -0.002         -0.008         -0.016         8.787          
72601.511   841693.700     -4530895.784   4394926.382    0.002          -0.014         -0.002         -0.008         -0.016         8.788          
72601.524   841693.700     -4530895.784   4394926.382    0.003          -0.015         -0.002         -0.008         -0.017         8.788          
72601.530   841693.700     -4530895.784   4394926.382    0.003          -0.015         -0.002         -0.007         -0.017         8.788          
72601.540   841693.700     -4530895.785   4394926.382    0.002          -0.015         -0.002         -0.009         -0.017         8.788          
72601.550   841693.700     -4530895.785   4394926.382    0.003          -0.015         -0.002         -0.010         -0.018         8.788          
72601.560   841693.700     -4530895.785   4394926.382    0.003          -0.016         -0.002         -0.008         -0.017         8.789          
72601.570   841693.700     -4530895.785   4394926.382    0.003          -0.016         -0.002         -0.007         -0.017         8.789          
72601.580   841693.700     -4530895.785   4394926.382    0.003          -0.016         -0.002         -0.008         -0.017         8.790          
72601.590   841693.700     -4530895.785   4394926.382    0.003          -0.016         -0.002         -0.009         -0.017         8.790          
72601.600   841693.700     -4530895.786   4394926.382    0.003          -0.016         -0.002         -0.008         -0.018         8.789          
72601.611   841693.700     -4530895.786   4394926.382    0.004          -0.016         -0.002         -0.010         -0.019         8.790          
72601.624   841693.700     -4530895.786   4394926.382    0.004          -0.016         -0.002         -0.008         -0.020         8.788          
72601.630   841693.700     -4530895.786   4394926.382    0.004          -0.016         -0.003         -0.007         -0.021         8.787          
72601.640   841693.700     -4530895.786   4394926.382    0.004          -0.017         -0.002         -0.008         -0.021         8.789          
72601.650   841693.700     -4530895.786   4394926.381    0.004          -0.017         -0.002         -0.007         -0.022         8.788          
72601.660   841693.700     -4530895.787   4394926.381    0.005          -0.016         -0.002         -0.006         -0.021         8.786          
72601.670   841693.700     -4530895.787   4394926.381    0.005          -0.016         -0.003         -0.007         -0.020         8.785          
72601.680   841693.700     -4530895.787   4394926.381    0.005          -0.016         -0.003         -0.008         -0.019         8.786          
72601.690   841693.701     -4530895.787   4394926.381    0.005          -0.017         -0.003         -0.008         -0.020         8.786          
72601.700   841693.701     -4530895.787   4394926.381    0.005          -0.017         -0.003         -0.009         -0.021         8.788          
72601.711   841693.701     -4530895.787   4394926.381    0.005          -0.016         -0.003         -0.009         -0.022         8.789          
72601.724   841693.701     -4530895.788   4394926.381    0.005          -0.016         -0.003         -0.011         -0.023         8.787          
72601.730   841693.701     -4530895.788   4394926.381    0.005          -0.016         -0.003         -0.011         -0.022         8.785          
72601.740   841693.701     -4530895.788   4394926.381    0.005          -0.017         -0.003         -0.010         -0.021         8.784          
72601.750   841693.701     -4530895.788   4394926.381    0.005          -0.017         -0.003         -0.010         -0.021         8.784          
72601.760   841693.701     -4530895.788   4394926.381    0.005          -0.017         -0.003         -0.009         -0.021         8.785          
72601.770   841693.701     -4530895.788   4394926.381    0.005          -0.017         -0.002         -0.009         -0.022         8.785          
72601.780   841693.701     -4530895.789   4394926.381    0.005          -0.018         -0.002         -0.010         -0.022         8.785          
72601.790   841693.701     -4530895.789   4394926.381    0.005          -0.018         -0.003         -0.010         -0.022         8.784          
72601.800   841693.701     -4530895.789   4394926.381    0.005          -0.018         -0.003         -0.010         -0.022         8.785          
72601.811   841693.701     -4530895.789   4394926.381    0.005          -0.018         -0.003         -0.010         -0.023         8.785          
72601.824   841693.701     -4530895.789   4394926.381    0.004          -0.018         -0.002         -0.010         -0.024         8.784          
72601.830   841693.701     -4530895.789   4394926.381    0.004          -0.018         -0.002         -0.010         -0.025         8.785          
72601.840   841693.701     -4530895.790   4394926.381    0.004          -0.018         -0.002         -0.010         -0.024         8.785          
72601.850   841693.701     -4530895.790   4394926.381    0.004          -0.019         -0.002         -0.009         -0.024         8.784          
72601.860   841693.701     -4530895.790   4394926.381    0.004          -0.019         -0.002         -0.009         -0.023         8.784          
72601.870   841693.701     -4530895.790   4394926.381    0.004          -0.019         -0.002         -0.010         -0.022         8.784          
72601.880   841693.701     -4530895.790   4394926.381    0.004          -0.019         -0.003         -0.011         -0.022         8.784          
72601.890   841693.701     -4530895.791   4394926.381    0.003          -0.019         -0.003         -0.010         -0.024         8.785          
72601.900   841693.701     -4530895.791   4394926.381    0.004          -0.019         -0.003         -0.011         -0.025         8.784          
72601.911   841693.702     -4530895.791   4394926.381    0.004          -0.020         -0.003         -0.011         -0.024         8.784          
72601.924   841693.702     -4530895.791   4394926.381    0.004          -0.020         -0.003         -0.010         -0.025         8.786          
72601.930   841693.702     -4530895.791   4394926.381    0.004          -0.020         -0.003         -0.010         -0.025         8.787          
72601.940   841693.702     -4530895.792   4394926.381    0.004          -0.021         -0.003         -0.009         -0.025         8.787          
72601.950   841693.702     -4530895.792   4394926.381    0.004          -0.021         -0.003         -0.007         -0.026         8.787          
72601.960   841693.702     -4530895.792   4394926.381    0.004          -0.021         -0.004         -0.007         -0.024         8.788          
72601.970   841693.702     -4530895.792   4394926.381    0.004          -0.021         -0.004         -0.008         -0.024         8.789          
72601.980   841693.702     -4530895.792   4394926.381    0.004          -0.022         -0.004         -0.009         -0.024         8.789          
72601.990   841693.702     -4530895.793   4394926.381    0.004          -0.022         -0.004         -0.009         -0.025         8.790          
72602.000   841693.702     -4530895.793   4394926.381    0.004          -0.021         -0.004         -0.008         -0.025         8.790          
72602.000   841693.695     -4530895.780   4394926.383    0.001          -0.006         -0.003         -0.008         -0.025         8.790          
72602.011   841693.695     -4530895.780   4394926.383    0.001          -0.006         -0.003         -0.008         -0.026         8.787          
72602.024   841693.695     -4530895.780   4394926.382    0.001          -0.006         -0.003         -0.007         -0.028         8.786          
72602.030   841693.695     -4530895.780   4394926.382    0.001          -0.007         -0.003         -0.008         -0.028         8.786          
72602.040   841693.695     -4530895.780   4394926.382    0.002          -0.007         -0.003         -0.006         -0.027         8.787          
72602.050   841693.695     -4530895.780   4394926.382    0.002          -0.007         -0.003         -0.005         -0.025         8.788          
72602.060   841693.695     -4530895.780   4394926.382    0.002          -0.007         -0.003         -0.008         -0.023         8.787          
72602.070   841693.695     -4530895.781   4394926.382    0.002          -0.006         -0.003         -0.008         -0.024         8.787          
72602.080   841693.695     -4530895.781   4394926.382    0.002          -0.007         -0.003         -0.005         -0.025         8.787          
72602.090   841693.695     -4530895.781   4394926.382    0.002          -0.007         -0.003         -0.007         -0.026         8.787          
72602.100   841693.695     -4530895.781   4394926.382    0.002          -0.007         -0.003         -0.008         -0.027         8.789          
72602.111   841693.695     -4530895.781   4394926.382    0.002          -0.007         -0.003         -0.008         -0.028         8.789          
72602.124   841693.695     -4530895.781   4394926.382    0.003          -0.007         -0.003         -0.008         -0.026         8.787          
72602.130   841693.695     -4530895.781   4394926.382    0.003          -0.008         -0.003         -0.008         -0.026         8.787          
72602.140   841693.695     -4530895.781   4394926.382    0.003          -0.008         -0.003         -0.009         -0.026         8.788          
72602.150   841693.695     -4530895.781   4394926.382    0.003          -0.008         -0.003         -0.010         -0.027         8.787          
72602.160   841693.695     -4530895.781   4394926.382    0.003          -0.008         -0.003         -0.008         -0.027         8.787          
72602.170   841693.695     -4530895.781   4394926.382    0.003          -0.008         -0.003         -0.009         -0.027         8.788          
72602.180   841693.695     -4530895.781   4394926.382    0.003          -0.008         -0.003         -0.009         -0.027         8.789          
72602.190   841693.695     -4530895.781   4394926.382    0.003          -0.009         -0.004         -0.009         -0.026         8.788          
72602.200   841693.696     -4530895.782   4394926.382    0.003          -0.009         -0.004         -0.012         -0.026         8.788          
72602.211   841693.696     -4530895.782   4394926.382    0.004          -0.009         -0.004         -0.014         -0.025         8.788          
72602.224   841693.696     -4530895.782   4394926.382    0.003          -0.009         -0.004         -0.011         -0.025         8.788          
72602.230   841693.696     -4530895.782   4394926.382    0.003          -0.009         -0.004         -0.011         -0.025         8.788          
72602.240   841693.696     -4530895.782   4394926.382    0.003          -0.009         -0.004         -0.012         -0.026         8.787          
72602.250   841693.696     -4530895.782   4394926.382    0.004          -0.010         -0.004         -0.011         -0.026         8.787          
72602.260   841693.696     -4530895.782   4394926.382    0.004          -0.010         -0.004         -0.010         -0.027         8.785          
72602.270   841693.696     -4530895.782   4394926.382    0.003          -0.010         -0.004         -0.010         -0.027         8.785          
72602.280   841693.696     -4530895.782   4394926.382    0.003          -0.010         -0.004         -0.009         -0.026         8.787          
72602.290   841693.696     -4530895.782   4394926.382    0.003          -0.010         -0.004         -0.009         -0.024         8.788          
72602.300   841693.696     -4530895.783   4394926.382    0.003          -0.011         -0.004         -0.010         -0.025         8.786          
72602.311   841693.696     -4530895.783   4394926.381    0.003          -0.011         -0.005         -0.009         -0.028         8.785          
72602.324   841693.696     -4530895.783   4394926.381    0.003          -0.011         -0.005         -0.008         -0.029         8.786          
72602.330   841693.696     -4530895.783   4394926.381    0.003          -0.012         -0.005         -0.008         -0.028         8.786          
72602.340   841693.696     -4530895.783   4394926.381    0.003          -0.012         -0.004         -0.009         -0.027         8.786          
72602.350   841693.696     -4530895.783   4394926.381    0.003          -0.012         -0.005         -0.009         -0.025         8.786          
72602.360   841693.696     -4530895.783   4394926.381    0.003          -0.012         -0.005         -0.008         -0.024         8.785          
72602.370   841693.696     -4530895.783   4394926.381    0.003          -0.013         -0.005         -0.008         -0.023         8.785          
72602.380   841693.696     -4530895.783   4394926.381    0.003          -0.013         -0.005         -0.009         -0.023         8.786          
72602.390   841693.696     -4530895.784   4394926.381    0.003          -0.013         -0.005         -0.008         -0.023         8.785          
72602.400   841693.696     -4530895.784   4394926.381    0.003          -0.013         -0.005         -0.008         -0.023         8.784          
72602.411   841693.696     -4530895.784   4394926.381    0.003          -0.013         -0.005         -0.008         -0.024         8.783          
72602.424   841693.696     -4530895.784   4394926.381    0.004          -0.013         -0.005         -0.007         -0.024         8.783          
72602.430   841693.696     -4530895.784   4394926.381    0.004          -0.013         -0.005         -0.007         -0.024         8.783          
72602.440   841693.696     -4530895.784   4394926.381    0.004          -0.013         -0.005         -0.006         -0.024         8.784          
72602.450   841693.696     -4530895.784   4394926.381    0.003          -0.013         -0.005         -0.006         -0.025         8.783          
72602.460   841693.696     -4530895.784   4394926.381    0.004          -0.013         -0.005         -0.006         -0.025         8.783          
72602.470   841693.696     -4530895.785   4394926.381    0.004          -0.013         -0.005         -0.005         -0.024         8.783          
72602.480   841693.696     -4530895.785   4394926.381    0.004          -0.013         -0.005         -0.004         -0.023         8.783          
72602.490   841693.696     -4530895.785   4394926.381    0.004          -0.013         -0.006         -0.005         -0.023         8.783          
72602.500   841693.696     -4530895.785   4394926.381    0.004          -0.013         -0.005         -0.005         -0.023         8.782          
72602.511   841693.697     -4530895.785   4394926.380    0.004          -0.013         -0.005         -0.004         -0.023         8.782          
72602.524   841693.697     -4530895.785   4394926.380    0.004          -0.013         -0.005         -0.006         -0.026         8.782          
72602.530   841693.697     -4530895.785   4394926.380    0.004          -0.013         -0.005         -0.006         -0.027         8.783          
72602.540   841693.697     -4530895.786   4394926.380    0.004          -0.013         -0.006         -0.005         -0.027         8.782          
72602.550   841693.697     -4530895.786   4394926.380    0.005          -0.014         -0.005         -0.005         -0.025         8.781          
72602.560   841693.697     -4530895.786   4394926.380    0.005          -0.014         -0.006         -0.004         -0.022         8.781          
72602.570   841693.697     -4530895.786   4394926.380    0.005          -0.013         -0.006         -0.003         -0.022         8.781          
